smell_type,severity,LOC,NOM,LOC_method,CYCLO_method,NOP_method,NEST,TOKEN_COUNT,LENGTH,FAN_IN,FAN_OUT,ATTR_COUNT,INHERIT_DEPTH
NoneSmellorUnknown,0,0,0,6,2,1,1,48,8,0,0,0,0
LongMethod,2,0,0,99,17,13,2,503,134,0,7,0,0
LongMethod,2,0,0,91,16,2,7,454,108,0,5,0,0
LongParameterList,1,0,0,29,12,6,5,183,31,0,3,0,0
LongMethod,1,0,0,51,20,5,3,398,73,0,4,0,0
LongMethod,2,0,0,75,12,6,4,366,238,0,23,0,0
DeepNesting,1,0,0,19,5,3,4,105,19,0,4,0,0
LongParameterList,3,0,0,101,23,10,4,863,136,0,55,0,0
LongMethod,2,0,0,89,11,2,3,1707,106,0,6,0,0
LongParameterList,3,0,0,324,25,30,4,1723,368,0,17,0,0
LongMethod,2,0,0,349,8,1,1,1272,354,0,3,0,0
LargeClass,3,2187,32,0,0,0,0,11304,2187,0,17,1,2
LongMethod,2,0,0,96,25,1,7,821,109,0,39,0,0
LongParameterList,2,0,0,88,17,8,1,480,99,0,15,0,0
LongParameterList,2,0,0,41,9,11,2,326,93,0,10,0,0
LongMethod,2,0,0,83,24,4,5,643,111,0,19,0,0
NoneSmellorUnknown,0,23,1,0,0,0,0,124,23,0,2,0,1
LongParameterList,2,0,0,160,9,19,2,528,171,0,5,0,0
LongMethod,1,0,0,64,13,24,1,482,74,0,10,0,0
DeepNesting,1,0,0,24,4,1,4,134,24,0,8,0,0
LargeClass,3,524,22,0,0,0,0,1937,524,0,24,20,2
LargeClass,3,1690,56,0,0,0,0,11405,1690,0,269,108,0
LongParameterList,2,0,0,34,8,8,3,153,40,0,1,0,0
LongMethod,3,0,0,255,23,25,4,1182,296,0,16,0,0
LongMethod,3,0,0,120,25,1,5,989,156,0,25,0,0
DeepNesting,2,0,0,46,13,2,7,322,59,0,7,0,0
LongParameterList,1,0,0,34,9,7,4,267,86,0,0,0,0
LongMethod,3,0,0,281,19,19,4,1008,320,0,10,0,0
DeepNesting,2,0,0,24,11,1,6,148,27,0,1,0,0
LargeClass,1,221,20,0,0,0,0,1169,221,0,22,17,2
LongMethod,2,0,0,92,10,7,3,605,100,0,18,0,0
LongMethod,1,0,0,58,8,3,0,319,68,0,0,0,0
LongMethod,2,0,0,89,21,7,4,548,89,0,8,0,0
LongMethod,2,0,0,78,9,0,1,616,86,0,15,0,0
LargeClass,1,271,10,0,0,0,0,1406,271,0,28,0,5
LongParameterList,3,0,0,129,12,11,4,259,133,0,8,0,0
NoneSmellorUnknown,0,0,0,13,4,2,1,158,18,0,5,0,0
LongMethod,2,0,0,79,25,3,4,706,119,0,25,0,0
LongMethod,1,0,0,51,18,2,2,443,84,0,20,0,0
LargeClass,3,573,27,0,0,0,0,3127,573,0,59,24,0
LongParameterList,1,0,0,147,25,6,1,1295,190,0,45,0,0
DeepNesting,3,0,0,41,13,1,10,177,46,0,1,0,0
LargeClass,2,385,17,0,0,0,0,2432,385,0,7,102,3
LargeClass,3,450,24,0,0,0,0,1926,450,0,56,0,1
LargeClass,1,227,18,0,0,0,0,1515,227,0,39,19,2
DeepNesting,2,0,0,16,7,1,6,73,41,0,0,0,0
DeepNesting,3,0,0,33,9,1,8,257,33,0,0,0,0
LongParameterList,2,0,0,72,25,8,6,724,90,0,5,0,0
NoneSmellorUnknown,0,0,0,4,1,1,1,30,6,0,1,0,0
LargeClass,2,369,12,0,0,0,0,1616,369,0,54,1,0
LongParameterList,2,0,0,50,9,8,4,275,58,0,5,0,0
LongParameterList,2,0,0,88,19,8,4,626,116,0,21,0,0
DeepNesting,3,0,0,43,10,0,9,305,48,0,6,0,0
DeepNesting,1,0,0,52,19,3,4,456,77,0,10,0,0
LongMethod,2,0,0,80,25,0,5,877,80,0,16,0,0
LargeClass,3,2284,26,0,0,0,0,20647,2284,0,972,581,2
LongParameterList,2,0,0,46,8,9,2,248,52,0,10,0,0
DeepNesting,1,0,0,40,9,2,4,192,48,0,1,0,0
DeepNesting,1,0,0,11,5,4,4,77,12,0,2,0,0
LongMethod,1,0,0,67,11,14,4,611,68,0,10,0,0
DeepNesting,1,0,0,20,7,3,4,101,36,0,1,0,0
LongMethod,3,0,0,117,25,2,9,680,153,0,15,0,0
LongParameterList,2,0,0,99,25,9,4,523,144,0,17,0,0
NoneSmellorUnknown,0,3,1,0,0,0,0,23,3,0,1,0,2
LargeClass,2,346,20,0,0,0,0,1449,346,0,17,20,2
DeepNesting,3,0,0,66,17,4,12,595,77,0,36,0,0
DeepNesting,1,0,0,28,10,3,4,199,39,0,7,0,0
LongMethod,1,0,0,51,11,0,1,476,67,0,22,0,0
LargeClass,1,226,10,0,0,0,0,1272,226,0,5,10,1
LargeClass,3,645,37,0,0,0,0,2677,645,0,56,13,2
LongParameterList,1,0,0,72,18,7,4,336,94,0,17,0,0
LargeClass,3,491,27,0,0,0,0,2951,491,0,43,6,3
DeepNesting,2,0,0,69,20,0,7,299,80,0,14,0,0
LargeClass,3,569,15,0,0,0,0,3129,569,0,37,0,2
LongParameterList,1,0,0,308,25,6,7,2094,412,0,41,0,0
NoneSmellorUnknown,0,0,0,10,2,1,2,93,10,0,2,0,0
DeepNesting,3,0,0,71,16,3,8,410,133,0,3,0,0
DeepNesting,1,0,0,28,11,2,5,176,35,0,5,0,0
LongMethod,3,0,0,110,18,3,3,789,137,0,14,0,0
LargeClass,2,343,20,0,0,0,0,2073,343,0,48,11,0
LargeClass,3,730,27,0,0,0,0,2650,730,0,39,15,2
NoneSmellorUnknown,0,11,1,0,0,0,0,12,11,0,0,0,2
DeepNesting,3,0,0,114,25,1,10,849,147,0,16,0,0
LongParameterList,2,0,0,113,11,8,3,891,146,0,2,0,0
LongParameterList,1,0,0,64,6,6,1,280,101,0,12,0,0
LongParameterList,2,0,0,53,19,9,2,316,64,0,8,0,0
LargeClass,3,3875,222,0,0,0,0,37082,3875,0,650,3,2
LongParameterList,2,0,0,140,21,8,4,660,164,0,29,0,0
NoneSmellorUnknown,0,0,0,7,3,2,0,37,8,0,1,0,0
LongMethod,2,0,0,79,25,0,6,686,104,0,22,0,0
NoneSmellorUnknown,0,0,0,2,1,2,0,14,2,0,0,0,0
LongParameterList,1,0,0,19,6,6,1,187,25,0,0,0,0
LongMethod,3,0,0,233,11,6,2,1173,257,0,12,0,0
DeepNesting,1,0,0,58,19,3,4,318,66,0,8,0,0
LargeClass,1,272,16,0,0,0,0,2161,272,0,36,14,1
LongMethod,3,0,0,282,25,0,5,1868,446,0,45,0,0
LongMethod,2,0,0,81,19,1,1,525,113,0,0,0,0
NoneSmellorUnknown,0,0,0,12,1,0,0,45,17,0,1,0,0
LargeClass,3,663,45,0,0,0,0,7053,663,0,112,23,1
LongParameterList,1,0,0,45,14,6,2,273,54,0,0,0,0
DeepNesting,3,0,0,96,25,3,13,909,123,0,58,0,0
LongMethod,3,0,0,180,25,5,0,948,199,0,0,0,0
LargeClass,2,387,17,0,0,0,0,760,387,0,36,3,2
NoneSmellorUnknown,0,0,0,14,5,3,3,118,18,0,8,0,0
LargeClass,3,1187,80,0,0,0,0,5316,1187,0,143,0,2
DeepNesting,2,0,0,92,25,3,6,916,92,0,20,0,0
LongParameterList,3,0,0,68,10,12,1,531,71,0,7,0,0
LongParameterList,2,0,0,33,11,9,2,414,46,0,8,0,0
LongMethod,3,0,0,106,17,4,5,689,133,0,20,0,0
NoneSmellorUnknown,0,0,0,2,1,1,0,11,2,0,0,0,0
DeepNesting,3,0,0,26,9,2,8,200,26,0,0,0,0
DeepNesting,1,0,0,15,10,4,4,122,16,0,0,0,0
LongParameterList,2,0,0,75,25,9,3,348,84,0,25,0,0
LongMethod,3,0,0,144,25,20,6,1262,275,0,27,0,0
LongMethod,1,0,0,50,21,2,5,283,63,0,16,0,0
LargeClass,1,201,11,0,0,0,0,1245,201,0,28,8,0
LargeClass,2,366,18,0,0,0,0,1713,366,0,53,0,1
DeepNesting,1,0,0,37,19,1,4,303,44,0,7,0,0
LongParameterList,1,0,0,34,7,7,2,169,37,0,2,0,0
LongParameterList,3,0,0,75,11,16,2,403,82,0,10,0,0
LongParameterList,2,0,0,27,8,9,2,224,31,0,4,0,0
LongParameterList,3,0,0,61,11,14,2,396,75,0,4,0,0
NoneSmellorUnknown,0,0,0,12,1,1,0,88,14,0,3,0,0
DeepNesting,1,0,0,7,5,3,4,54,11,0,4,0,0
LargeClass,1,251,19,0,0,0,0,821,251,0,19,18,1
LongMethod,2,0,0,89,18,1,3,417,109,0,17,0,0
LargeClass,1,221,10,0,0,0,0,1190,221,0,31,13,2
LargeClass,3,719,19,0,0,0,0,4596,719,0,63,39,1
NoneSmellorUnknown,0,0,0,2,1,2,0,18,2,0,0,0,0
LargeClass,1,230,14,0,0,0,0,1344,230,0,41,5,2
DeepNesting,2,0,0,51,7,4,6,252,54,0,7,0,0
DeepNesting,1,0,0,38,10,4,4,208,62,0,10,0,0
LongParameterList,1,0,0,62,10,6,4,224,75,0,4,0,0
DeepNesting,2,0,0,59,11,4,6,296,89,0,12,0,0
DeepNesting,3,0,0,502,25,3,13,4780,753,0,118,0,0
LargeClass,3,585,26,0,0,0,0,4909,585,0,107,89,0
LongParameterList,1,0,0,63,7,6,3,230,63,0,7,0,0
LargeClass,2,314,28,0,0,0,0,1794,314,0,15,68,0
LargeClass,1,232,14,0,0,0,0,1249,232,0,23,1,1
